created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 18 14:50:40 +0000 2023;1714655238425288798;"yaallah pengen sosis keju indomaret yaallah... udah 3 indomaret aku absen gada yg jual sosis keju😩😩";0;1;0;0;in;1454825717825298438;1714655238425288798;merrymemerryou;https://twitter.com/merrymemerryou/status/1714655238425288798
Wed Oct 18 09:31:54 +0000 2023;1714575017844019659;"-- guys aku beli sosis keju indomaret lewat klik indomaret 5 biji biar free ongkirnya, ada yang mau take 2 nya gak ya? Soalnya aku mau 3 ajaa hehe. Harganya 11k perbiji. Kalau mau bisa cod/dianter kalau sekitaran sayang&amp ciseke/ambil ke kosan aku di gang hj nena okee https://t.co/eS7btzNEjt";0;1;0;1;in;1209457724599095296;1714575017844019659;DraftAnakUnpad;https://twitter.com/DraftAnakUnpad/status/1714575017844019659
Wed Oct 18 06:35:10 +0000 2023;1714530542509781484;"Pengen coba sosis keju Indomaret yang lagi viral. Sayangnya, sekarang udah sold out. Sosis paling sedih yang pernah dilewatkan! 😩";0;0;0;0;in;1598690146085240833;1714530542509781484;naraya_nr;https://twitter.com/naraya_nr/status/1714530542509781484
Tue Oct 17 20:24:53 +0000 2023;1714376959025967126;"sosis keju indomaret dimana plis unila!";0;4;0;0;in;1367063449977585664;1714376959025967126;unilabase;https://twitter.com/unilabase/status/1714376959025967126
Tue Oct 17 15:11:05 +0000 2023;1714297987701330204;"@convomf klo lagi pengen makanan tu dikit ya kek cmn buryam deket patung kuda peleburan, tahu gimbal pak Edi deket Smansa, ramenYa paragon, klo jajan kek mcflurry yg baru, es dawet dkt fc Ageng, ip matcha frape sama sosis Indomaret keju";0;0;0;0;in;1333026888097296386;1714295993041367119;spacessyy;https://twitter.com/spacessyy/status/1714297987701330204
Tue Oct 17 11:08:42 +0000 2023;1714236993230774736;"Datengin beberapa Indomaret karna kepengen sosis keju ternyata pada kosong , akhir nya mau gamau beli yg original daripada buang² duit buat bayar parkir 🥹";0;0;0;0;in;1685662220896931840;1714236993230774736;putrAyah19;https://twitter.com/putrAyah19/status/1714236993230774736
Tue Oct 17 08:45:20 +0000 2023;1714200913169310187;"kenapa sosis keju indomaret susah bgt😭😭😭😭";0;1;0;4;in;1476585133717159940;1714200913169310187;gloomyald;https://twitter.com/gloomyald/status/1714200913169310187
Tue Oct 17 02:24:54 +0000 2023;1714105172081942559;"masih kepingin sosis keju indomaret dan gak nemu nemu🙂";0;1;0;6;in;1163805644748517379;1714105172081942559;chintaslb;https://twitter.com/chintaslb/status/1714105172081942559
Mon Oct 16 11:08:14 +0000 2023;1713874487358468258;"sosis keju indomaret knp jdi susah amay nemuny";0;0;0;0;in;1276344275295334402;1713874487358468258;andarasyfa;https://twitter.com/andarasyfa/status/1713874487358468258
Sun Oct 15 15:04:09 +0000 2023;1713571469014556695;"@kebinspout sosis keju indomaret, mihil bgt ajg tapi kalo ada tida bisa tida beli";0;0;0;0;in;1319707304011296768;1713552874884714962;ttalgichijeu;https://twitter.com/ttalgichijeu/status/1713571469014556695
Sun Oct 15 13:10:26 +0000 2023;1713542853346148670;"abistu nyobain sosis indomaret yg viral ntuh tp bukan yg keju krn ak takut eneq SURPRISINGLY ENAQ WOI, TIDAK OVERRATED SM SKLI 💘 https://t.co/E9HGF7cRp1";0;0;0;1;in;1621343248076910592;1713542853346148670;smoochiesjoyie_;https://twitter.com/smoochiesjoyie_/status/1713542853346148670
Sun Oct 15 09:56:15 +0000 2023;1713493985338257558;"Nyobain sosis keju indomaret. Harga 12k udah nikmad. Ntab mau lagi. https://t.co/8eHRyRSssD";0;0;0;0;in;80291292;1713493985338257558;TeukuRizqi;https://twitter.com/TeukuRizqi/status/1713493985338257558
Sun Oct 15 05:32:52 +0000 2023;1713427702785642850;"@ritep_ sosis keju indomaret!!!";0;1;0;0;in;1225915098960523264;1713165038775939114;adhiganasokya;https://twitter.com/adhiganasokya/status/1713427702785642850
Sat Oct 14 18:40:30 +0000 2023;1713263525496578345;"I deserve sosis keju meletus Indomaret";0;0;0;1;in;1181938503342424067;1713263525496578345;meltbarrss;https://twitter.com/meltbarrss/status/1713263525496578345
Sat Oct 14 16:05:11 +0000 2023;1713224439863849321;"masi penasaran pengen gigit lengannya kevin,,,,, apakah bunyi kletuk kayak sosis keju indomaret,,,,,";0;1;0;0;in;1502234870269235200;1713224439863849321;zznwoo;https://twitter.com/zznwoo/status/1713224439863849321
Sat Oct 14 14:22:41 +0000 2023;1713198645250793842;"indomaret deket rumah ada 3, di yang agak jauh w dah bestie ama mbanya garagara nitip sosis keju😭";0;0;0;0;in;1609535487383048194;1713198645250793842;inyopaws;https://twitter.com/inyopaws/status/1713198645250793842
Sat Oct 14 11:10:29 +0000 2023;1713150277946364266;"infokan cabang indomaret bandung/cimahi yang ready sosis keju @Indomaret @KontakIndomaret @IndomaretPoint";0;3;0;0;in;1607354253718458368;1713150277946364266;gesagesy;https://twitter.com/gesagesy/status/1713150277946364266
Sat Oct 14 04:04:02 +0000 2023;1713042957367152676;"mau sosis keju indomaret ya";1;1;0;0;in;1549798667682717696;1713042957367152676;nominedomini;https://twitter.com/nominedomini/status/1713042957367152676
Sat Oct 14 03:34:58 +0000 2023;1713035641112690820;"@Maz_Dzee Ini sosis indomaret yg keju bukan si ._.";0;1;0;0;in;1605476481286967296;1713034028755153259;glommydugong;https://twitter.com/glommydugong/status/1713035641112690820
Sat Oct 14 01:54:33 +0000 2023;1713010369931678039;"@jaeqyuhn Sosis Indomaret yg keju meledak";0;1;0;0;in;1135563971019153408;1713008949400846801;Rosepqrk;https://twitter.com/Rosepqrk/status/1713010369931678039
Fri Oct 13 12:36:29 +0000 2023;1712809530860634534;"Sosis keju indomaret 11/10, +1 poin karena ceklok ceklok https://t.co/6GCbjJmQeU";0;1;0;2;in;1458104600251154434;1712809530860634534;assbholee;https://twitter.com/assbholee/status/1712809530860634534
Fri Oct 13 11:09:29 +0000 2023;1712787636711199044;"gw yang udah jajan sosis keju indomaret sejak lama bilek https://t.co/sgjWwTq7Ze";0;0;0;0;in;1302639454004207616;1712787580469834079;sugujru;https://twitter.com/sugujru/status/1712787636711199044
Fri Oct 13 11:09:15 +0000 2023;1712787580469834079;"grgr viral sosis keju indomaret out of stock terus anjir 😢😢 jadi ini rasanya jadi polisi skena";0;1;0;1;in;1302639454004207616;1712787580469834079;sugujru;https://twitter.com/sugujru/status/1712787580469834079
Fri Oct 13 10:03:28 +0000 2023;1712771023274467364;"@Indomaret knp sosis keju nya ngada mulu dimana mana🫠😔";0;0;0;0;in;1045938804043870208;1712771023274467364;666bitjh;https://twitter.com/666bitjh/status/1712771023274467364
Fri Oct 13 09:58:20 +0000 2023;1712769730090844166;"info indomaret yg udah restock sosis keju plsssssss ngidam";0;0;0;1;in;4666925293;1712769730090844166;ppromegranate;https://twitter.com/ppromegranate/status/1712769730090844166
Fri Oct 13 06:28:12 +0000 2023;1712716851640406191;"sedih banget sosis keju indomaret abis muluu";0;0;0;0;in;1266324738684534784;1712716851640406191;potatounyu;https://twitter.com/potatounyu/status/1712716851640406191
Fri Oct 13 05:56:45 +0000 2023;1712708933520142703;"@masdonge Sosis keju indomaret 😭";0;1;0;0;in;1166982408425504768;1712694017287414256;fallin_autum;https://twitter.com/fallin_autum/status/1712708933520142703
Fri Oct 13 05:46:29 +0000 2023;1712706353180160366;"@cestmoicassy @spunxxpearl Sosis keju indomaret ftw!!!";0;0;0;0;in;1487259661220728833;1712683326417535327;M1tsui27;https://twitter.com/M1tsui27/status/1712706353180160366
Fri Oct 13 00:29:47 +0000 2023;1712626651962773825;"Halo min, kenapa di Jember Indomaretnya itu ga ada sosis indomaret keju sama onigiri? Padahal dah ada gambarnya lohh, tapi di klik selalu kosong, ayoolah banyakin stoknya @Indomaret @KontakIndomaret";0;1;0;0;in;1393133326542671877;1712626651962773825;ulilabsar03;https://twitter.com/ulilabsar03/status/1712626651962773825
Thu Oct 12 16:55:42 +0000 2023;1712512378133446843;"@Indomaret minimal restock min sosis keju nya";0;0;0;0;in;2333424134;1712364059029622907;47rizkyardi;https://twitter.com/47rizkyardi/status/1712512378133446843
Thu Oct 12 16:14:02 +0000 2023;1712501891060650150;"kemarin, akhirnya nyobain jg sosis keju indomaret! https://t.co/QGXkF9I8ny";0;0;1;1;in;1369215020;1712501891060650150;spacesviking;https://twitter.com/spacesviking/status/1712501891060650150
Thu Oct 12 13:53:56 +0000 2023;1712466633808298169;"@FOODFESS2 Sosis indomaret fiks. Nambah dikit dapet lebih gede. Lebih enakk. Krenyess. Anget pulaaa. Yg sosis keju indomaret yyyyww";0;0;0;0;in;1256661714633846784;1712459185974386822;kemirisalam;https://twitter.com/kemirisalam/status/1712466633808298169
Thu Oct 12 09:45:18 +0000 2023;1712404066314473825;"@Indomaret Min jual tiket teater ga sekalian bundling sosis keju itu";0;0;0;1;in;1207263830604017664;1712364059029622907;R_Hafidzmuh;https://twitter.com/R_Hafidzmuh/status/1712404066314473825
Thu Oct 12 09:37:37 +0000 2023;1712402131528057341;"@artcize @Indomaret @Indomaret min sosis keju min";0;0;0;0;in;1118522204742766592;1712364059029622907;pal4kotak;https://twitter.com/pal4kotak/status/1712402131528057341
Thu Oct 12 08:01:02 +0000 2023;1712377825695846597;"@Indomaret Min kenapa sosis keju di Jabar baru di daerah Bandung aja? (didomku ga ada, terus dikasi info sm staffnya gitu)";0;0;0;0;in;1230161147539546117;1712364059029622907;from_soulshine;https://twitter.com/from_soulshine/status/1712377825695846597
Thu Oct 12 07:36:58 +0000 2023;1712371768734953739;"@Indomaret Kata gua mending yang sosis keju cepet restock min";0;2;2;36;in;1118522204742766592;1712364059029622907;pal4kotak;https://twitter.com/pal4kotak/status/1712371768734953739
Thu Oct 12 06:17:57 +0000 2023;1712351881933275238;"Bang adain sosis keju di daerah Cirebon bang @Indomaret";0;1;0;0;in;1280106147643420673;1712351881933275238;Haithaxm;https://twitter.com/Haithaxm/status/1712351881933275238
Wed Oct 11 15:38:52 +0000 2023;1712130654530609590;"Sosis keju viral indomaret";0;0;0;0;in;989800916151816192;1712130654530609590;irt_sa;https://twitter.com/irt_sa/status/1712130654530609590
Wed Oct 11 14:22:17 +0000 2023;1712111381078778102;"pemburu sosis keju indomaret😫 https://t.co/n8TOEKqMcT";0;0;1;23;in;1455170377307488259;1712111381078778102;betaburannnnnn;https://twitter.com/betaburannnnnn/status/1712111381078778102
Wed Oct 11 11:09:58 +0000 2023;1712062984716251495;"@emtivibujangg Elprimo mas! Coba yang sosis keju-nya. Katanya sih itu distributor sosis keju crotnya indomaret yang viral xixi";0;0;0;0;in;1373889541858160640;1712025997825151139;icecreqmpuff;https://twitter.com/icecreqmpuff/status/1712062984716251495
Wed Oct 11 09:19:30 +0000 2023;1712035182918922562;"sosis keju indomaret";0;0;0;0;in;1141922516232880129;1712035182918922562;i2osamu;https://twitter.com/i2osamu/status/1712035182918922562
Wed Oct 11 09:12:04 +0000 2023;1712033314989875689;"@FOODFESS2 Sosis keju aja belom kesampean ya tolong ih, jangan bikin aku jalan panas2 sekarang menuju indomaret point lahh otw gasss ngenggggggggggggg";0;0;0;0;in;2237080604;1711306268596637921;BallQiss_ayy;https://twitter.com/BallQiss_ayy/status/1712033314989875689
Wed Oct 11 05:46:42 +0000 2023;1711981628795633974;"@unilabase Sosis keju Indomaret blm masuk Lampung nder";0;1;0;0;in;1124159437667688449;1711974992030925129;AzaniChesilia;https://twitter.com/AzaniChesilia/status/1711981628795633974
Wed Oct 11 03:05:12 +0000 2023;1711940986803544212;"@Indomaret min pls pls pls bngt dibali adain apa stok sosis keju aku kan pengen cobaaa, btw aku bisa makan sapi jangan worry 😭🙏";0;1;0;0;in;981420061465378822;1711940986803544212;hcharim;https://twitter.com/hcharim/status/1711940986803544212
Tue Oct 10 16:31:48 +0000 2023;1711781587539632286;"@cucdle sosis keju indomaret?";0;0;0;0;in;1427115322918592513;1711746786338255269;jarefunn;https://twitter.com/jarefunn/status/1711781587539632286
Tue Oct 10 14:56:01 +0000 2023;1711757484460011938;"@convomf Sosis keju Indomaret plis blm kesampean, kosong trus diisni😭";0;0;0;0;in;1469610432964923395;1711754741137772714;marvelliox;https://twitter.com/marvelliox/status/1711757484460011938
Tue Oct 10 07:15:22 +0000 2023;1711641554849550599;"@abiteudamang Kenopo sosis keju indomaret angel mbak?";0;0;0;0;in;854498928997179392;1711551570012438994;onadhib;https://twitter.com/onadhib/status/1711641554849550599
Tue Oct 10 02:39:06 +0000 2023;1711572032474038314;"@nafanrdyka Cobain sosis indomaret keju";0;1;0;0;in;311172833;1711566484546412729;nndncmh;https://twitter.com/nndncmh/status/1711572032474038314
Mon Oct 09 12:54:03 +0000 2023;1711364401293570195;"Sosis keju indomaret mitos bner Kga pernah ada 🤔";0;0;0;0;in;553671272;1711364401293570195;StephanCh24;https://twitter.com/StephanCh24/status/1711364401293570195
Mon Oct 09 10:01:45 +0000 2023;1711321041568731581;"BELI SOSIS KEJU INDOMARET DMN YA, TD SIANG UDH MUTER MUTER GA NEMU ANJROT";0;1;0;0;in;1280789617617199104;1711321041568731581;capriiigirl;https://twitter.com/capriiigirl/status/1711321041568731581
Mon Oct 09 08:12:12 +0000 2023;1711293472312004780;"@tanyarlfes Pengen makan sosis keju indomaret yg lumer itu wkwk";0;0;0;0;in;1146293914330157056;1711208657457938491;melluuun;https://twitter.com/melluuun/status/1711293472312004780
Mon Oct 09 04:52:20 +0000 2023;1711243174050693578;"Sosis keju indomaret udah punah kah? Cuma sempet beli sekali terus udah ga ada lagi 😭 Enak banget padahal, kalian pernah nyoba ga?";0;3;0;14;in;1620323080768987137;1711243174050693578;ElyaRosabelle;https://twitter.com/ElyaRosabelle/status/1711243174050693578
Mon Oct 09 00:19:27 +0000 2023;1711174500296106090;"@Indomaret pliss yhh stok sosis keju nyaa dibanyakin dongg sama di allow di shopeefood, mauu pesenn pagi pagi nihh buatt sarapan";0;0;0;0;in;1172844885428203520;1711174500296106090;nunoraaaa;https://twitter.com/nunoraaaa/status/1711174500296106090
